date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:25	72076/72076	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2010:08:16%20GMT	https://bookland.dexignzone.com/xhtml/index.html	E:/Project%20Code/Asp.net%20MVC/Libary/Template/LibaryTemplate/bookland.dexignzone.com/xhtml/index.html	(from )
20:26:26	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Jun%202023%2013:26:29%20GMT	https://bookland.dexignzone.com/robots.txt		(from )
20:26:26	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Jun%202023%2013:26:30%20GMT	https://makaanlelo.com/tf_products_007/bookland/xhtml/social-image.png	E:/Project%20Code/Asp.net%20MVC/Libary/Template/LibaryTemplate/makaanlelo.com/tf_products_007/bookland/xhtml/social-image.1.delayed	(from https://bookland.dexignzone.com/xhtml/index.html)
20:26:27	2267/2267	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Aug%202022%2010:11:20%20GMT	https://bookland.dexignzone.com/xhtml/images/favicon.png	E:/Project%20Code/Asp.net%20MVC/Libary/Template/LibaryTemplate/bookland.dexignzone.com/xhtml/images/favicon.png	(from https://bookland.dexignzone.com/xhtml/index.html)
20:26:27	10722/10722	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Aug%202022%2011:12:13%20GMT	https://bookland.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	E:/Project%20Code/Asp.net%20MVC/Libary/Template/LibaryTemplate/bookland.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://bookland.dexignzone.com/xhtml/index.html)
20:26:27	13916/13916	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Aug%202022%2011:05:58%20GMT	https://bookland.dexignzone.com/xhtml/vendor/swiper/swiper-bundle.min.css	E:/Project%20Code/Asp.net%20MVC/Libary/Template/LibaryTemplate/bookland.dexignzone.com/xhtml/vendor/swiper/swiper-bundle.min.css	(from https://bookland.dexignzone.com/xhtml/index.html)
20:26:27	89220/89220	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Aug%202022%2011:26:00%20GMT	https://bookland.dexignzone.com/xhtml/icons/fontawesome/css/all.min.css	E:/Project%20Code/Asp.net%20MVC/Libary/Template/LibaryTemplate/bookland.dexignzone.com/xhtml/icons/fontawesome/css/all.min.css	(from https://bookland.dexignzone.com/xhtml/index.html)
20:26:28	57095/57095	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Aug%202022%2012:33:03%20GMT	https://bookland.dexignzone.com/xhtml/vendor/animate/animate.css	E:/Project%20Code/Asp.net%20MVC/Libary/Template/LibaryTemplate/bookland.dexignzone.com/xhtml/vendor/animate/animate.css	(from https://bookland.dexignzone.com/xhtml/index.html)
20:26:28	2242/2242	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Aug%202022%2010:11:21%20GMT	https://bookland.dexignzone.com/xhtml/images/logo.png	E:/Project%20Code/Asp.net%20MVC/Libary/Template/LibaryTemplate/bookland.dexignzone.com/xhtml/images/logo.png	(from https://bookland.dexignzone.com/xhtml/index.html)
20:26:28	26715/26715	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2010:08:33%20GMT	https://bookland.dexignzone.com/xhtml/wishlist.html	E:/Project%20Code/Asp.net%20MVC/Libary/Template/LibaryTemplate/bookland.dexignzone.com/xhtml/wishlist.html	(from https://bookland.dexignzone.com/xhtml/index.html)
